Regions-ID	Regionsname	Anzahl Kinos
1323	Wollerau	0
1331	Küssnacht (SZ)	0
1341	Altendorf	0
1342	Galgenen	0
1343	Innerthal	0
1344	Lachen	0
1345	Reichenburg	0
1346	Schübelbach	0
1347	Tuggen	0
1348	Vorderthal	0
1349	Wangen (SZ)	0
1361	Alpthal	0
1362	Arth	0
1363	Illgau	0
1364	Ingenbohl	0
1365	Lauerz	0
1366	Morschach	0
1367	Muotathal	1
1368	Oberiberg	0
1369	Riemenstalden	0
1370	Rothenthurm	0
1371	Sattel	0
1372	Schwyz	1
1373	Steinen	0
1374	Steinerberg	0
1375	Unteriberg	0
1401	Alpnach	0
1402	Engelberg	0
1403	Giswil	0
1404	Kerns	0
1405	Lungern	0
1406	Sachseln	0
1407	Sarnen	1
1501	Beckenried	0
1502	Buochs	0
1503	Dallenwil	0
1504	Emmetten	0
1505	Ennetbürgen	0
1506	Ennetmoos	0
1507	Hergiswil (NW)	0
1508	Oberdorf (NW)	0
1509	Stans	0
1510	Stansstad	0
1511	Wolfenschiessen	0
1630	Glarus Nord	1
1631	Glarus Süd	0
1632	Glarus	0
1701	Baar	1
1702	Cham	0
1703	Hünenberg	0
1704	Menzingen	0
1705	Neuheim	0
1706	Oberägeri	0
1707	Risch	0
1708	Steinhausen	0
1709	Unterägeri	0
1710	Walchwil	0
1711	Zug	2
2004	Bussy (FR)	0
2005	Châbles	0
2008	Châtillon (FR)	0
2009	Cheiry	0
2010	Cheyres	0
2011	Cugy (FR)	0
2013	Domdidier	0
2014	Dompierre (FR)	0
2015	Estavayer-le-Lac	0
2016	Fétigny	0
2022	Gletterens	0
2024	Léchelles	0
2025	Lully (FR)	0
2027	Ménières	0
2029	Montagny (FR)	0
2033	Morens (FR)	0
2034	Murist	0
2035	Nuvilly	0
2038	Prévondavaux	0
2039	Rueyres-les-Prés	0
2040	Russy	0
2041	Saint-Aubin (FR)	0
2043	Sévaz	0
2044	Surpierre	0
2045	Vallon	0
2047	Villeneuve (FR)	0
2049	Vuissens	0
2050	Les Montets	0
2051	Delley-Portalban	0
2052	Vernay	0
2061	Auboranges	0
2063	Billens-Hennens	0
2066	Chapelle (Glâne)	0
2067	Le Châtelard	0
2068	Châtonnaye	0
2072	Ecublens (FR)	0
2079	Grangettes	0
2086	Massonnens	0
2087	Mézières (FR)	0
2089	Montet (Glâne)	0
2096	Romont (FR)	0
2097	Rue	0
2099	Siviriez	0
2102	Ursy	0
2111	Villaz-Saint-Pierre	0
2113	Vuisternens-devant-Romont	0
2114	Villorsonnens	0
2115	Torny	0
2116	La Folliaz	0
2121	Haut-Intyamon	0
2122	Pont-en-Ogoz	0
2123	Botterens	0
2124	Broc	0
2125	Bulle	1
2128	Châtel-sur-Montsalvens	0
2129	Corbières	0
2130	Crésuz	0
2131	Echarlens	0
2134	Grandvillard	0
2135	Gruyères	0
2137	Hauteville	0
2138	Jaun	0
2140	Marsens	0
2143	Morlon	0
2145	Le Pâquier (FR)	0
2147	Pont-la-Ville	0
2148	Riaz	0
2149	La Roche	0
2152	Sâles	0
2153	Sorens	0
2155	Vaulruz	0
2160	Vuadens	0
2162	Bas-Intyamon	0
2163	Val-de-Charmey	0
2171	Arconciel	0
2172	Autafond	0
2173	Autigny	0
2174	Avry	0
2175	Belfaux	0
2177	Chénens	0
2179	Chésopelloz	0
2183	Corminboeuf	0
2184	Corpataux-Magnedens	0
2185	Corserey	0
2186	Cottens (FR)	0
2189	Ependes (FR)	0
2192	Farvagny	0
2194	Ferpicloz	0
2196	Fribourg	2
2197	Givisiez	0
2198	Granges-Paccot	0
2200	Grolley	0
2206	Marly	0
2208	Matran	0
2211	Neyruz (FR)	0
2213	Noréaz	0
2216	Pierrafortscha	0
2217	Ponthaux	0
2220	Le Mouret	0
2221	Prez-vers-Noréaz	0
2222	Rossens (FR)	0
2223	Le Glèbe	0
2225	Senèdes	0
2226	Treyvaux	0
2228	Villars-sur-Glâne	0
2230	Villarsel-sur-Marly	0
2231	Vuisternens-en-Ogoz	0
2233	Hauterive (FR)	0
2234	La Brillaz	0
2235	La Sonnaz	0
2243	Barberêche	0
2250	Courgevaux	0
2251	Courlevon	0
2254	Courtepin	0
2257	Cressier (FR)	0
2258	Fräschels	0
2259	Galmiz	0
2260	Gempenach	0
2261	Greng	0
2262	Gurmels	0
2264	Jeuss	0
2265	Kerzers	0
2266	Kleinbösingen	0
2270	Lurtigen	0
2271	Meyriez	0
2272	Misery-Courtion	0
2274	Muntelier	0
2275	Murten	1
2276	Ried bei Kerzers	0
2277	Salvenach	0
2278	Ulmiz	0
2279	Villarepos	0
2280	Bas-Vully	0
2281	Haut-Vully	0
2283	Wallenried	0
2291	Alterswil	0
2292	Brünisried	0
2293	Düdingen	0
2294	Giffers	0
2295	Bösingen	0
2296	Heitenried	0
2298	Oberschrot	0
2299	Plaffeien	0
2300	Plasselb	0
2301	Rechthalten	0
2302	St. Antoni	0
2303	St. Silvester	0
2304	St. Ursen	0
2305	Schmitten (FR)	0
2306	Tafers	0
2307	Tentlingen	0
2308	Ueberstorf	0
2309	Wünnewil-Flamatt	0
2310	Zumholz	0
2321	Attalens	0
2323	Bossonnens	0
2325	Châtel-Saint-Denis	1
2328	Granges (Veveyse)	0
2333	Remaufens	0
2335	Saint-Martin (FR)	0
2336	Semsales	0
2337	Le Flon	0
2338	La Verrerie	0
2401	Egerkingen	0
2402	Härkingen	0
2403	Kestenholz	0
2404	Neuendorf	0
2405	Niederbuchsiten	0
2406	Oberbuchsiten	0
2407	Oensingen	1
2408	Wolfwil	0
2421	Aedermannsdorf	0
2422	Balsthal	0
2423	Gänsbrunnen	0
2424	Herbetswil	0
2425	Holderbank (SO)	0
2426	Laupersdorf	0
2427	Matzendorf	0
2428	Mümliswil-Ramiswil	0
2429	Welschenrohr	0
2445	Biezwil	0
2455	Lüterkofen-Ichertswil	0
2456	Lüterswil-Gächliwil	0
2457	Messen	0
2461	Schnottwil	0
2463	Unterramsern	0
2464	Lüsslingen-Nennigkofen	0
2465	Buchegg	0
2471	Bättwil	0
2472	Büren (SO)	0
2473	Dornach	0
2474	Gempen	0
2475	Hochwald	0
2476	Hofstetten-Flüh	0
2477	Metzerlen-Mariastein	0
2478	Nuglar-St. Pantaleon	0
2479	Rodersdorf	0
2480	Seewen	0
2481	Witterswil	0
2491	Hauenstein-Ifenthal	0
2492	Kienberg	0
2493	Lostorf	0
2495	Niedergösgen	0
2497	Obergösgen	0
2498	Rohr (SO)	0
2499	Stüsslingen	0
2500	Trimbach	0
2501	Winznau	0
2502	Wisen (SO)	0
2503	Erlinsbach (SO)	0
2511	Aeschi (SO)	0
2513	Biberist	0
2514	Bolken	0
2516	Deitingen	0
2517	Derendingen	0
2518	Etziken	0
2519	Gerlafingen	0
2520	Halten	0
2523	Horriwil	0
2524	Hüniken	0
2525	Kriegstetten	0
2526	Lohn-Ammannsegg	0
2527	Luterbach	0
2528	Obergerlafingen	0
2529	Oekingen	0
2530	Recherswil	0
2532	Subingen	0
2534	Zuchwil	1
2535	Drei Höfe	0
2541	Balm bei Günsberg	0
2542	Bellach	0
2543	Bettlach	0
2544	Feldbrunnen-St. Niklaus	0
2545	Flumenthal	0
2546	Grenchen	2
2547	Günsberg	0
2548	Hubersdorf	0
2549	Kammersrohr	0
2550	Langendorf	0
2551	Lommiswil	0
2553	Oberdorf (SO)	0
2554	Riedholz	0
2555	Rüttenen	0
2556	Selzach	0
2571	Boningen	0
2572	Däniken	0
2573	Dulliken	0
2574	Eppenberg-Wöschnau	0
2575	Fulenbach	0
2576	Gretzenbach	0
2578	Gunzgen	0
2579	Hägendorf	0
2580	Kappel (SO)	0
2581	Olten	4
2582	Rickenbach (SO)	0
2583	Schönenwerd	0
2584	Starrkirch-Wil	0
2585	Walterswil (SO)	0
2586	Wangen bei Olten	0
2601	Solothurn	4
2611	Bärschwil	0
2612	Beinwil (SO)	0
2613	Breitenbach	0
2614	Büsserach	0
2615	Erschwil	0
2616	Fehren	0
2617	Grindel	0
2618	Himmelried	0
2619	Kleinlützel	0
2620	Meltingen	0
2621	Nunningen	0
2622	Zullwil	0
2701	Basel	10
2702	Bettingen	0
2703	Riehen	0
2761	Aesch (BL)	0
2762	Allschwil	0
2763	Arlesheim	0
2764	Biel-Benken	0
2765	Binningen	0
2766	Birsfelden	0
2767	Bottmingen	0
2768	Ettingen	0
2769	Münchenstein	0
2770	Muttenz	0
2771	Oberwil (BL)	0
2772	Pfeffingen	0
2773	Reinach (BL)	0
2774	Schönenbuch	0
2775	Therwil	0
2781	Blauen	0
2782	Brislach	0
2783	Burg im Leimental	0
2784	Dittingen	0
2785	Duggingen	0
2786	Grellingen	0
2787	Laufen	0
2788	Liesberg	0
2789	Nenzlingen	0
2790	Roggenburg	0
2791	Röschenz	0
2792	Wahlen	0
2793	Zwingen	0
2821	Arisdorf	0
2822	Augst	0
2823	Bubendorf	0
2824	Frenkendorf	0
2825	Füllinsdorf	0
2826	Giebenach	0
2827	Hersberg	0
2828	Lausen	0
2829	Liestal	3
2830	Lupsingen	0
2831	Pratteln	0
2832	Ramlinsburg	0
2833	Seltisberg	0
2834	Ziefen	0
2841	Anwil	0
2842	Böckten	0
2843	Buckten	0
2844	Buus	0
2845	Diepflingen	0
2846	Gelterkinden	0
2847	Häfelfingen	0
2848	Hemmiken	0
2849	Itingen	0
2850	Känerkinden	0
2851	Kilchberg (BL)	0
2852	Läufelfingen	0
2853	Maisprach	0
2854	Nusshof	0
2855	Oltingen	0
2856	Ormalingen	0
2857	Rickenbach (BL)	0
2858	Rothenfluh	0
2859	Rümlingen	0
2860	Rünenberg	0
2861	Sissach	1
2862	Tecknau	0
2863	Tenniken	0
2864	Thürnen	0
2865	Wenslingen	0
2866	Wintersingen	0
2867	Wittinsburg	0
2868	Zeglingen	0
2869	Zunzgen	0
2881	Arboldswil	0
2882	Bennwil	0
2883	Bretzwil	0
2884	Diegten	0
2885	Eptingen	0
2886	Hölstein	0
2887	Lampenberg	0
2888	Langenbruck	0
2889	Lauwil	0
2890	Liedertswil	0
2891	Niederdorf	0
2892	Oberdorf (BL)	0
2893	Reigoldswil	0
2894	Titterten	0
2895	Waldenburg	0
2901	Gächlingen	0
2903	Löhningen	0
2904	Neunkirch	0
2914	Büttenhardt	0
2915	Dörflingen	0
2917	Lohn (SH)	0
2919	Stetten (SH)	0
2920	Thayngen	0
2931	Bargen (SH)	0
2932	Beringen	0
2933	Buchberg	0
2936	Merishausen	0
2937	Neuhausen am Rheinfall	0
2938	Rüdlingen	0
2939	Schaffhausen	2
2951	Beggingen	0
2952	Schleitheim	0
2953	Siblingen	0
2961	Buch (SH)	0
2962	Hemishofen	0
2963	Ramsen	0
2964	Stein am Rhein	1
2971	Hallau	0
2972	Oberhallau	0
2973	Trasadingen	0
2974	Wilchingen	0
3001	Herisau	1
3002	Hundwil	0
3003	Schönengrund	0
3004	Schwellbrunn	0
3005	Stein (AR)	0
3006	Urnäsch	0
3007	Waldstatt	0
3021	Bühler	0
3022	Gais	0
3023	Speicher	0
3024	Teufen (AR)	0
3025	Trogen	0
3031	Grub (AR)	0
3032	Heiden	1
3033	Lutzenberg	0
3034	Rehetobel	0
3035	Reute (AR)	0
3036	Wald (AR)	0
3037	Walzenhausen	0
3038	Wolfhalden	0
3101	Appenzell	0
3102	Gonten	0
3103	Rüte	0
3104	Schlatt-Haslen	0
3105	Schwende	0
3111	Oberegg	0
3201	Häggenschwil	0
3202	Muolen	0
3203	St. Gallen	4
3204	Wittenbach	0
3211	Berg (SG)	0
3212	Eggersriet	0
3213	Goldach	0
3214	Mörschwil	0
3215	Rorschach	1
3216	Rorschacherberg	0
3217	Steinach	0
3218	Tübach	0
3219	Untereggen	0
3231	Au (SG)	1
3232	Balgach	0
3233	Berneck	0
3234	Diepoldsau	0
3235	Rheineck	0
3236	St. Margrethen	0
3237	Thal	0
3238	Widnau	0
3251	Altstätten	0
3252	Eichberg	0
3253	Marbach (SG)	0
3254	Oberriet (SG)	0
3255	Rebstein	0
3256	Rüthi (SG)	0
3271	Buchs (SG)	0
3272	Gams	0
3273	Grabs	1
3274	Sennwald	0
3275	Sevelen	0
3276	Wartau	0
3291	Bad Ragaz	0
3292	Flums	0
3293	Mels	0
3294	Pfäfers	0
3295	Quarten	0
3296	Sargans	1
3297	Vilters-Wangs	0
3298	Walenstadt	0
3311	Amden	0
3312	Benken (SG)	0
3313	Kaltbrunn	0
3315	Schänis	0
3316	Weesen	0
3338	Schmerikon	0
3339	Uznach	1
3340	Rapperswil-Jona	2
3341	Gommiswald	0
3342	Eschenbach (SG)	0
3352	Ebnat-Kappel	0
3359	Wildhaus-Alt St. Johann	0
3360	Nesslau	0
3372	Hemberg	0
3374	Lichtensteig	0
3375	Oberhelfenschwil	0
3378	Neckertal	0
3379	Wattwil	1
3392	Kirchberg (SG)	0
3393	Lütisburg	0
3394	Mosnang	0
3395	Bütschwil-Ganterschwil	0
3401	Degersheim	0
3402	Flawil	0
3405	Jonschwil	0
3407	Oberuzwil	0
3408	Uzwil	1
3422	Niederbüren	0
3423	Niederhelfenschwil	0
3424	Oberbüren	0
3426	Zuzwil (SG)	0
3427	Wil (SG)	1
3441	Andwil (SG)	0
3442	Gaiserwald	1
3443	Gossau (SG)	0
3444	Waldkirch	0
3501	Alvaschein	0
3502	Mon	0
3503	Mutten	0
3504	Stierva	0
3505	Tiefencastel	0
